timestamp,usage_kwh,voltage,current
2026-05-08 20:39:30,7.47,221.8,33.68
2026-05-08 20:39:30,4.3,235.69,18.24
2026-05-08 20:39:30,7.92,233.25,33.95
2026-05-08 20:39:30,5.94,224.59,26.45
2026-05-08 20:39:30,6.23,225.3,27.65
2026-05-08 20:39:30,3.99,239.42,16.67
2026-05-08 20:39:30,4.38,221.12,19.81
2026-05-08 20:39:30,3.51,227.76,15.41
2026-05-08 20:39:30,6.16,234.17,26.31
2026-05-08 20:39:30,6.77,233.14,29.04
2026-05-08 20:39:30,6.47,223.75,28.92
2026-05-08 20:39:30,4.18,235.96,17.71
2026-05-08 20:39:30,5.22,221.63,23.55
2026-05-08 20:39:30,4.98,224.12,22.22
2026-05-08 20:39:30,4.51,223.22,20.2
2026-05-08 20:39:30,3.8,227.07,16.73
2026-05-08 20:39:30,4.59,234.77,19.55
2026-05-08 20:39:30,4.88,228.97,21.31
2026-05-08 20:39:30,4.31,232.74,18.52
2026-05-08 20:39:30,7.72,237.58,32.49
2026-05-08 20:39:30,5.1,227.44,22.42
2026-05-08 20:39:30,4.7,238.42,19.71
2026-05-08 20:39:30,4.97,235.06,21.14
2026-05-08 20:39:30,7.72,225.0,34.31
2026-05-08 20:39:30,4.84,228.08,21.22
2026-05-08 20:39:30,6.14,228.76,26.84
2026-05-08 20:39:30,5.85,231.51,25.27
2026-05-08 20:39:30,5.87,223.39,26.28
2026-05-08 20:39:30,4.77,230.24,20.72
2026-05-08 20:39:30,5.65,223.33,25.3
2026-05-08 20:39:30,5.71,229.13,24.92
2026-05-08 20:39:30,6.37,223.98,28.44
2026-05-08 20:39:30,4.52,237.89,19.0
2026-05-08 20:39:30,6.1,235.29,25.93
2026-05-08 20:39:30,4.33,233.25,18.56
2026-05-08 20:39:30,5.32,226.61,23.48
2026-05-08 20:39:30,4.24,232.39,18.25
2026-05-08 20:39:30,6.17,223.73,27.58
2026-05-08 20:39:30,6.49,227.27,28.56
2026-05-08 20:39:30,7.12,230.97,30.83
2026-05-08 20:39:30,4.0,237.1,16.87
2026-05-08 20:39:30,5.42,222.99,24.31
2026-05-08 20:39:30,4.7,239.62,19.61
2026-05-08 20:39:30,7.04,220.7,31.9
2026-05-08 20:39:30,7.83,232.6,33.66
2026-05-08 20:39:30,5.1,226.32,22.53
2026-05-08 20:39:30,4.97,235.06,21.14
2026-05-08 20:39:30,5.58,236.01,23.64
2026-05-08 20:39:30,6.01,221.46,27.14
2026-05-08 20:39:30,4.15,230.23,18.03
2026-05-08 20:39:30,5.8,224.63,25.82
2026-05-08 20:39:30,7.41,235.96,31.4
2026-05-08 20:39:30,4.29,221.89,19.33
2026-05-08 20:39:30,4.74,223.73,21.19
2026-05-08 20:39:30,5.72,231.35,24.72
2026-05-08 20:39:30,6.25,233.75,26.74
2026-05-08 20:39:30,4.93,227.15,21.7
2026-05-08 20:39:30,3.67,234.42,15.66
2026-05-08 20:39:30,4.41,225.19,19.58
2026-05-08 20:39:30,5.73,233.22,24.57
2026-05-08 20:39:30,4.34,235.95,18.39
2026-05-08 20:39:30,7.19,220.26,32.64
